Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
11.234,0.872,0.367,211.821,-65.146,0.193,0.312,-0.791,14.882,341.479,79.405,11.353,977.245,1.17328763,-4.17,-6.553,302.273,302.273
11.334,2.163,2.162,241.805,-1.774,1.905,1.021,-0.067,14.652,341.341,80.446,11.326,977.224,1.17421079,-4.251,-6.606,302.448,302.448
11.434,2.096,2.094,269.146,2.954,2.093,0.031,0.108,13.853,340.867,84.781,11.337,977.24,1.17749238,-4.04,-7.028,301.94,301.94
11.535,1.007,0.985,298.664,-11.956,0.864,-0.472,-0.209,13.626,340.734,86.147,11.356,977.229,1.17840242,-4.301,-6.484,301.086,301.086
11.634,1.383,1.349,98.613,-12.773,-1.333,0.202,-0.306,14.641,341.334,80.495,11.324,977.24,1.17427337,-4.203,-6.23,302.365,302.365
11.734,1.988,1.988,94.889,0.0,-1.981,0.169,0.0,14.831,341.447,79.541,11.329,977.234,1.17349064,-31.402,-5.959,292.14,292.14
11.835,1.893,1.892,136.978,-1.453,-1.291,1.384,-0.048,14.626,341.326,80.641,11.337,977.233,1.17432141,-48.636,-5.808,281.122,281.122
11.934,2.901,2.89,203.027,-4.944,1.13,2.66,-0.25,14.671,341.353,80.427,11.341,977.223,1.17412436,8.762,-4.037,302.796,302.796
12.034,2.718,2.715,242.871,2.703,2.416,1.238,0.128,14.435,341.213,81.664,11.341,977.218,1.17508256,39.275,-4.597,303.367,303.367
12.135,2.555,2.555,281.016,0.0,2.508,-0.488,0.0,13.918,340.907,84.488,11.349,977.226,1.1772033,26.292,-6.984,305.53,305.53
12.235,0.124,0.075,243.485,-52.655,0.067,0.034,-0.098,14.171,341.056,83.029,11.334,977.218,1.17616308,-12.999,-8.832,297.584,297.584
12.335,1.918,1.906,90.208,-6.631,-1.906,0.007,-0.222,15.102,341.609,78.245,11.345,977.238,1.17238367,-4.059,-4.405,301.723,301.723
12.434,2.083,2.078,86.404,-4.101,-2.074,-0.13,-0.149,15.058,341.582,78.447,11.341,977.224,1.17254984,-3.753,-7.936,302.705,302.705
12.535,0.454,0.447,122.866,-9.838,-0.375,0.243,-0.078,14.915,341.497,79.133,11.334,977.233,1.17314422,-28.148,-9.076,291.572,291.572
12.634,2.398,2.398,228.436,-0.458,1.794,1.591,-0.019,14.706,341.374,80.245,11.341,977.24,1.17400086,7.843,-4.102,303.795,303.795
12.734,2.708,2.706,272.664,2.294,2.703,-0.126,0.108,14.233,341.093,82.762,11.345,977.242,1.17593563,18.272,-5.72,304.922,304.922
12.834,1.806,1.806,292.445,0.08,1.669,-0.69,0.003,13.96,340.931,84.242,11.345,977.234,1.17704546,-9.977,-9.95,299.164,299.164
12.935,0.804,0.795,71.264,-8.833,-0.753,-0.255,-0.124,14.539,341.275,81.181,11.353,977.241,1.17468143,-3.812,-8.507,301.729,301.729
13.035,2.19,2.188,82.851,-2.291,-2.171,-0.272,-0.088,14.989,341.542,78.837,11.349,977.223,1.17282629,-5.274,-5.012,300.817,300.817
13.134,0.964,0.959,80.682,-6.066,-0.946,-0.155,-0.102,14.807,341.433,79.662,11.329,977.229,1.17357993,-4.995,-7.614,301.016,301.016
13.235,1.098,0.976,236.531,-27.254,0.814,0.538,-0.503,14.771,341.412,79.87,11.334,977.229,1.17372489,-3.753,-8.695,301.117,301.117
13.334,2.216,2.213,253.472,3.31,2.121,0.629,0.128,14.378,341.178,81.904,11.329,977.216,1.17531836,-3.711,-5.683,302.106,302.106
13.434,2.083,2.081,289.457,2.631,1.962,-0.693,0.096,13.835,340.857,84.968,11.353,977.232,1.1775521,-4.193,-6.413,301.401,301.401
13.534,0.853,0.847,318.103,-6.661,0.566,-0.631,-0.099,13.67,340.761,86.003,11.374,977.227,1.17821372,-4.253,-8.628,301.516,301.516
13.634,2.058,1.992,102.993,-14.483,-1.941,0.448,-0.515,14.721,341.384,80.274,11.36,977.227,1.17391932,-4.4,-6.328,300.807,300.807
13.734,2.26,2.225,88.223,-10.159,-2.224,-0.069,-0.399,14.891,341.484,79.356,11.353,977.228,1.17322958,-4.178,-5.612,300.907,300.907
13.835,0.697,0.59,82.584,-32.188,-0.585,-0.076,-0.371,14.786,341.423,79.971,11.368,977.216,1.17363393,-4.411,-7.963,301.062,301.062
13.934,1.853,1.846,238.323,-4.86,1.571,0.969,-0.157,14.686,341.364,80.54,11.377,977.225,1.174052,-4.957,-6.51,300.832,300.832
14.034,2.371,2.369,261.423,2.303,2.342,0.353,0.095,14.164,341.053,83.216,11.36,977.231,1.17619824,-4.368,-5.44,301.443,301.443
14.135,1.658,1.657,282.038,2.194,1.621,-0.346,0.063,13.805,340.838,85.004,11.329,977.232,1.17768431,-4.403,-6.94,301.151,301.151
