Timestamp [s],Wind 3D norm [m/s],Wind 2D norm [m/s],Horizontal wind direction [°],Vertical wind direction [°],U Vector [m/s],V Vector [m/s],W Vector [m/s],Temperature [°C],Speed of sound [m/s],Humidity [%],Dew point [°C],Pressure [hPa],Air density [kg/cm³],Pitch [°],Roll [°],Heading [°],TrueHead [°]
6.52,0.456,0.372,290.116,-35.24,0.349,-0.128,-0.263,13.893,340.904,85.716,11.542,977.247,1.17725134,-2.971,-7.696,302.456,302.456
6.619,2.21,2.054,132.781,-21.615,-1.508,1.395,-0.814,14.767,341.423,81.065,11.554,977.239,1.17366374,-2.644,-8.503,302.751,302.751
6.72,1.374,1.357,131.127,-8.884,-1.022,0.893,-0.212,15.012,341.567,79.708,11.537,977.239,1.17267275,-2.899,-7.804,302.68,302.68
6.82,1.898,1.846,206.678,-13.542,0.829,1.649,-0.445,14.878,341.488,80.465,11.55,977.246,1.1732229,-2.797,-7.257,302.096,302.096
6.92,2.811,2.785,232.577,7.747,2.212,1.693,0.379,14.774,341.426,80.967,11.542,977.237,1.1736387,-2.63,-7.497,302.693,302.693
7.02,2.919,2.919,248.178,0.0,2.71,1.085,0.0,14.168,341.068,84.379,11.574,977.245,1.17611206,-31.55,-6.686,291.44,291.44
7.12,1.879,1.865,227.626,7.02,1.378,1.257,0.23,13.874,340.894,86.047,11.581,977.232,1.17729914,-46.79,-5.706,280.657,280.657
7.22,2.696,2.695,162.344,-1.738,-0.817,2.568,-0.082,14.543,341.289,82.171,11.54,977.237,1.17458355,-18.074,-6.566,297.108,297.108
7.319,2.859,2.859,156.473,0.885,-1.141,2.621,0.044,15.021,341.574,79.861,11.575,977.199,1.17257547,13.682,-5.449,303.578,303.578
7.42,1.765,1.756,173.527,-5.974,-0.198,1.745,-0.184,15.176,341.665,78.891,11.541,977.212,1.17197073,24.469,-7.426,304.615,304.615
7.52,2.501,2.461,231.669,10.254,1.931,1.526,0.445,15.263,341.716,78.497,11.55,977.207,1.17160976,10.336,-9.906,305.07,305.07
7.62,2.969,2.96,262.981,4.607,2.938,0.362,0.239,14.834,341.463,80.778,11.565,977.246,1.17339635,-13.859,-4.583,298.603,298.603
7.72,2.577,2.56,284.192,6.6,2.481,-0.628,0.296,14.103,341.029,84.712,11.57,977.241,1.17637515,-22.273,-5.327,295.221,295.221
7.82,1.192,1.176,312.51,9.478,0.867,-0.795,0.196,14.157,341.06,84.286,11.547,977.244,1.17616522,-12.301,-9.301,298.256,298.256
7.92,1.288,1.241,109.641,-15.458,-1.169,0.417,-0.343,14.956,341.533,79.98,11.534,977.244,1.1729095,2.394,-8.107,303.11,303.11
8.017,-99.53,-99.51,0.0,0.0,-99.4,-99.41,-99.42,-99.44,-99.43,47.885,-99.44,977.239,13.83865738,0.513,-5.844,302.259,302.259
8.12,2.091,2.086,191.085,-3.957,0.401,2.047,-0.144,15.037,341.583,79.712,11.562,977.244,1.17256856,-3.087,-6.643,301.532,301.532
8.219,3.772,3.771,212.056,0.556,2.002,3.196,0.037,14.875,341.486,80.467,11.547,977.23,1.17321789,-1.902,-6.722,301.868,301.868
8.32,2.9,2.82,237.365,13.52,2.375,1.521,0.678,14.266,341.124,83.625,11.534,977.241,1.17572284,-3.283,-6.234,301.252,301.252
8.42,1.99,1.861,241.548,20.75,1.636,0.887,0.705,13.867,340.889,85.976,11.562,977.217,1.17731488,-2.033,-6.515,302.215,302.215
8.52,1.307,1.297,159.137,-6.835,-0.462,1.212,-0.156,14.447,341.231,82.628,11.53,977.214,1.17495227,-3.296,-6.408,302.54,302.54
8.619,2.078,2.078,125.628,-0.733,-1.689,1.21,-0.027,15.098,341.618,79.297,11.542,977.21,1.17228878,0.243,-5.871,303.408,303.408
8.72,1.383,1.377,123.646,5.582,-1.146,0.763,0.135,15.088,341.612,79.318,11.537,977.233,1.17235637,1.031,-5.332,303.066,303.066
8.82,1.938,1.838,212.828,-18.429,0.997,1.545,-0.613,15.09,341.615,79.525,11.578,977.232,1.17233324,-1.416,-6.389,301.575,301.575
8.92,3.117,3.062,231.993,10.731,2.413,1.886,0.58,14.812,341.45,80.83,11.554,977.229,1.17346883,-2.497,-7.374,302.273,302.273
9.02,2.596,2.532,244.552,12.696,2.287,1.088,0.57,14.178,341.072,84.129,11.539,977.218,1.17605078,-3.038,-6.101,301.895,301.895
9.12,0.817,0.767,237.872,20.132,0.649,0.408,0.281,14.202,341.087,84.059,11.55,977.235,1.17597055,-1.358,-5.421,300.845,300.845
9.22,2.078,2.075,138.472,-3.115,-1.376,1.553,-0.113,15.027,341.578,79.802,11.57,977.228,1.1725862,-0.986,-5.742,301.482,301.482
9.319,2.282,2.282,118.566,-0.755,-2.004,1.091,-0.03,15.296,341.738,78.477,11.578,977.233,1.17149508,2.162,-8.321,303.152,303.152
9.419,1.248,1.146,147.556,-23.348,-0.615,0.967,-0.495,15.11,341.625,79.191,11.535,977.233,1.17226744,-0.958,-6.758,302.556,302.556
9.52,3.351,3.35,212.932,1.002,1.821,2.812,0.059,15.048,341.59,79.609,11.554,977.226,1.17250264,-4.931,-5.919,300.414,300.414
9.62,2.936,2.875,241.118,11.712,2.517,1.389,0.596,14.485,341.255,82.53,11.55,977.222,1.17479515,0.545,-8.4,302.299,302.299
9.72,2.061,2.051,250.512,5.722,1.933,0.684,0.205,14.129,341.044,84.409,11.541,977.222,1.17625535,-2.224,-8.68,301.9,301.9
9.819,0.613,0.613,232.329,0.0,0.485,0.375,0.0,14.069,341.009,84.809,11.554,977.226,1.1765008,-3.098,-8.842,302.0,302.0
9.92,2.139,2.137,149.259,-2.355,-1.093,1.837,-0.088,15.015,341.57,79.8,11.558,977.219,1.17262638,1.149,-8.07,303.219,303.219
10.02,1.277,1.277,176.63,0.0,-0.075,1.275,0.0,15.078,341.608,79.547,11.571,977.237,1.17238939,0.106,-7.965,303.187,303.187
10.12,2.913,2.894,205.588,-6.599,1.25,2.61,-0.335,15.016,341.571,79.886,11.575,977.227,1.172629,-3.37,-9.782,302.77,302.77
10.22,3.26,3.246,235.671,5.33,2.68,1.83,0.303,14.803,341.444,80.837,11.547,977.215,1.17349005,0.515,-10.142,302.207,302.207
10.32,3.094,3.094,249.015,0.0,2.889,1.108,0.0,14.072,341.009,84.659,11.53,977.236,1.17651308,1.061,-8.643,302.86,302.86
10.42,1.574,1.521,247.974,15.032,1.41,0.57,0.408,13.806,340.852,86.247,11.55,977.232,1.17759001,-4.317,-8.921,301.176,301.176
10.52,1.856,1.837,150.798,-8.143,-0.896,1.604,-0.263,14.578,341.311,82.06,11.554,977.24,1.17443621,-9.653,-11.04,299.262,299.262
10.62,1.996,1.984,147.933,-6.401,-1.053,1.681,-0.223,15.017,341.571,79.791,11.558,977.222,1.17262423,2.417,-11.376,303.303,303.303
10.72,2.112,2.077,189.593,-10.331,0.346,2.048,-0.379,15.096,341.617,79.327,11.547,977.23,1.17231715,-0.709,-8.313,302.644,302.644
10.82,3.079,3.078,223.693,0.706,2.127,2.226,0.038,15.144,341.644,78.975,11.526,977.245,1.17214918,-2.826,-9.303,302.499,302.499
10.919,3.557,3.541,247.331,5.483,3.268,1.365,0.34,14.748,341.411,81.141,11.55,977.246,1.17375159,-2.927,-11.791,302.822,302.822
11.02,3.237,3.168,257.212,11.838,3.09,0.701,0.664,14.097,341.026,84.701,11.562,977.238,1.17639601,-2.698,-10.071,301.985,301.985
11.119,1.991,1.977,259.809,6.877,1.946,0.35,0.238,14.056,341.001,84.839,11.547,977.244,1.1765784,-1.38,-7.715,301.811,301.811
11.22,1.376,1.342,163.489,-12.924,-0.381,1.286,-0.308,14.955,341.534,80.026,11.542,977.268,1.17293727,-6.271,-11.715,301.249,301.249
