frame,t_sec,x_center,y_center,w,h,ok,speed_pix_per_s
152,2.5359,433.000,1625.000,66.000,40.000,1,29.970
153,2.5526,433.000,1625.000,66.000,40.000,1,0.000
154,2.5692,433.000,1625.500,68.000,41.000,1,29.970
155,2.5859,432.000,1625.000,66.000,40.000,1,67.015
156,2.6026,432.000,1625.000,66.000,40.000,1,0.000
157,2.6193,432.000,1625.000,66.000,40.000,1,0.000
158,2.6360,433.000,1625.000,66.000,40.000,1,59.940
159,2.6526,432.000,1625.000,66.000,40.000,1,59.940
160,2.6693,432.000,1625.000,66.000,40.000,1,0.000
161,2.6860,432.000,1625.000,66.000,40.000,1,0.000
162,2.7027,432.000,1625.000,66.000,40.000,1,0.000
163,2.7194,432.000,1624.000,66.000,40.000,1,59.940
164,2.7361,432.000,1624.000,66.000,40.000,1,0.000
165,2.7528,431.500,1624.500,65.000,39.000,1,42.384
166,2.7694,433.000,1625.000,66.000,40.000,1,94.774
167,2.7861,432.000,1625.000,66.000,40.000,1,59.940
168,2.8028,432.000,1624.000,66.000,40.000,1,59.940
169,2.8195,432.000,1624.000,66.000,40.000,1,0.000
170,2.8362,432.000,1625.000,66.000,40.000,1,59.940
171,2.8529,432.000,1625.000,66.000,40.000,1,0.000
172,2.8695,432.000,1625.000,66.000,40.000,1,0.000
173,2.8862,432.000,1625.000,66.000,40.000,1,0.000
174,2.9029,432.000,1625.000,66.000,40.000,1,0.000
175,2.9196,432.000,1624.000,66.000,40.000,1,59.940
176,2.9363,432.000,1624.000,66.000,40.000,1,0.000
177,2.9529,432.000,1625.000,66.000,40.000,1,59.940
178,2.9696,432.000,1625.000,66.000,40.000,1,0.000
179,2.9863,432.000,1625.000,66.000,40.000,1,0.000
180,3.0030,432.000,1625.000,66.000,40.000,1,0.000
181,3.0197,433.000,1625.500,68.000,41.000,1,67.015
182,3.0364,433.000,1624.500,68.000,41.000,1,59.940
183,3.0531,434.000,1625.500,68.000,41.000,1,84.768
184,3.0697,434.000,1625.500,68.000,41.000,1,0.000
185,3.0864,435.000,1625.500,68.000,41.000,1,59.940
186,3.1031,436.000,1625.500,68.000,41.000,1,59.940
187,3.1198,437.000,1626.500,68.000,41.000,1,84.768
188,3.1365,440.000,1626.000,66.000,40.000,1,182.301
189,3.1532,444.000,1626.000,66.000,40.000,1,239.760
190,3.1698,446.000,1626.500,68.000,41.000,1,123.570
191,3.1865,449.000,1626.500,68.000,41.000,1,179.820
192,3.2032,451.500,1625.500,69.000,41.000,1,161.394
193,3.2199,455.000,1626.000,70.000,42.000,1,211.920
194,3.2366,458.000,1626.000,70.000,42.000,1,179.820
195,3.2532,462.000,1627.000,70.000,42.000,1,247.139
196,3.2699,465.500,1628.500,69.000,41.000,1,228.245
197,3.2866,467.000,1628.500,72.000,43.000,1,89.910
198,3.3033,494.500,1625.000,73.000,44.000,1,1661.648
199,3.3200,497.500,1626.000,73.000,44.000,1,189.547
200,3.3367,499.500,1627.000,73.000,44.000,1,134.030
201,3.3534,501.500,1628.000,73.000,44.000,1,134.030
202,3.3700,504.500,1628.500,75.000,45.000,1,182.301
203,3.3867,504.500,1629.500,75.000,45.000,1,59.940
204,3.4034,504.000,1631.000,76.000,46.000,1,94.774
205,3.4201,508.000,1631.000,76.000,46.000,1,239.760
206,3.4368,513.000,1632.500,78.000,47.000,1,312.896
207,3.4535,520.000,1632.500,78.000,47.000,1,419.580
208,3.4701,524.500,1633.000,79.000,48.000,1,271.390
209,3.4868,531.500,1633.000,79.000,48.000,1,419.580
210,3.5035,537.500,1633.000,81.000,48.000,1,359.640
211,3.5202,544.000,1634.500,82.000,49.000,1,399.850
212,3.5369,551.000,1635.000,84.000,50.000,1,420.649
213,3.5535,558.000,1636.000,84.000,50.000,1,423.840
214,3.5702,566.000,1636.000,84.000,50.000,1,479.520
215,3.5869,573.000,1636.500,86.000,51.000,1,420.649
216,3.6036,580.000,1636.500,86.000,51.000,1,419.580
217,3.6203,587.000,1636.500,86.000,51.000,1,419.580
218,3.6370,595.000,1637.000,84.000,50.000,1,480.456
219,3.6537,604.000,1639.500,86.000,51.000,1,559.886
220,3.6703,612.000,1639.500,86.000,51.000,1,479.520
221,3.6870,620.000,1640.500,86.000,51.000,1,483.252
222,3.7037,629.000,1640.500,86.000,51.000,1,539.461
223,3.7204,637.000,1642.000,84.000,50.000,1,487.877
224,3.7371,646.000,1642.500,86.000,51.000,1,540.292
225,3.7538,655.000,1642.500,86.000,51.000,1,539.461
226,3.7704,664.000,1643.500,86.000,51.000,1,542.780
227,3.7871,673.000,1644.000,84.000,50.000,1,540.292
228,3.8038,683.000,1645.500,86.000,51.000,1,606.106
229,3.8205,692.000,1645.500,86.000,51.000,1,539.461
230,3.8372,702.000,1646.500,86.000,51.000,1,602.390
231,3.8538,713.000,1646.500,86.000,51.000,1,659.341
232,3.8705,723.000,1648.000,84.000,50.000,1,606.106
233,3.8872,733.000,1648.000,84.000,50.000,1,599.401
234,3.9039,743.000,1649.500,82.000,49.000,1,606.106
235,3.9206,754.000,1650.500,82.000,49.000,1,662.060
236,3.9373,764.500,1650.000,81.000,48.000,1,630.084
237,3.9539,776.000,1651.500,82.000,49.000,1,695.150
238,3.9706,787.000,1651.500,82.000,49.000,1,659.341
239,3.9873,798.500,1653.000,79.000,48.000,1,695.150
240,4.0040,810.500,1653.000,81.000,48.000,1,719.281
241,4.0207,821.500,1655.000,79.000,48.000,1,670.150
242,4.0374,834.500,1656.000,79.000,48.000,1,781.523
243,4.0541,846.500,1656.000,81.000,48.000,1,719.281
244,4.0707,858.500,1657.000,79.000,48.000,1,721.774
245,4.0874,872.500,1657.000,81.000,48.000,1,839.161
246,4.1041,884.500,1658.000,81.000,48.000,1,721.774
247,4.1208,897.500,1660.000,81.000,48.000,1,788.388
248,4.1375,910.500,1660.000,81.000,48.000,1,779.221
249,4.1542,924.000,1661.000,84.000,50.000,1,811.408
250,4.1708,937.000,1662.500,82.000,49.000,1,784.391
